opened_month_start,total_incidents,sla_met,sla_compliance_rate,median_resolution_hours,average_resolution_hours,reassigned_incidents,reassignment_rate,sla_breached
2016-02-01,207,134,64.73429951690821,53.791666666666664,331.20193602693604,83,40.09661835748793,73
2016-03-01,8995,3585,39.855475264035576,71.18333333333334,240.8388355025747,5025,55.86436909394108,5410
2016-04-01,7934,6085,76.69523569447946,4.333333333333333,146.01196741017765,3244,40.887320393244266,1849
2016-05-01,7508,5820,77.51731486414492,2.9,132.7601988320356,2887,38.452317527970166,1688
2016-06-01,5,4,80.0,26.65,1086.04,2,40.0,1
2016-07-01,14,11,78.57142857142857,34.791666666666664,279.47261904761905,10,71.42857142857143,3
2016-08-01,15,7,46.666666666666664,145.18333333333334,519.8655555555556,7,46.666666666666664,8
2016-09-01,12,7,58.333333333333336,64.45,433.4444444444444,5,41.66666666666667,5
2016-10-01,16,7,43.75,110.975,652.3802083333333,9,56.25,9
2016-11-01,26,17,65.38461538461539,1.1416666666666666,326.3282051282051,10,38.46153846153847,9
2016-12-01,37,23,62.16216216216216,43.91666666666666,219.5243243243243,15,40.54054054054054,14
2017-01-01,94,53,56.38297872340425,57.1,197.93758865248228,52,55.319148936170215,41
2017-02-01,55,50,90.9090909090909,2.8666666666666667,20.760370370370367,20,36.36363636363637,5
